entry_id,Temperature,Moisture,Water Needed (ml)
1,31.78,672,395
2,33.43,1008,942
3,33.56,461,465
4,34.48,816,521
5,34.35,1006,989
6,33.01,999,803
7,31.99,961,826
8,32.97,743,617
9,33.37,994,827
10,33.33,1002,905
11,34.36,623,416
12,33.01,370,325
13,33.96,586,389
14,32.01,404,415
15,34.41,633,316
16,34.36,737,668
17,32.73,580,374
18,31.84,497,314
19,33.83,648,317
20,32.71,831,733
21,33.49,663,444
22,33.17,622,353
23,32.52,318,391
24,34.43,381,465
25,33.67,712,741
26,34.32,657,414
27,34.4,509,361
28,33.46,405,340
29,32.83,442,376
30,32.07,774,732
31,33.06,579,500
32,32.87,818,772
33,34.39,311,457
34,32.47,736,590
35,33.4,432,458
36,31.73,992,829
37,31.66,885,692
38,32.49,431,447
39,32.36,724,787
40,33.95,398,451
41,33.02,1021,984
42,33.44,419,387
43,32.86,565,466
44,32.06,324,302
45,33.14,437,334
46,31.86,825,789
47,33.44,406,349
48,32.15,709,773
49,32.88,865,690
50,34.2,681,333
51,33.27,400,391
52,33.96,804,620
53,33.74,861,564
54,34.28,1022,941
55,32.84,575,371
56,32.36,693,433
57,33.64,414,370
58,31.81,369,460
59,31.67,659,445
60,32.28,515,476
61,34.18,819,759
62,34.36,736,614
63,31.73,543,401
64,32.29,356,471
65,33.88,703,791
66,31.66,403,464
67,33.66,586,417
68,33.58,309,337
69,31.73,578,370
70,31.66,792,553
71,33.3,446,422
72,33.36,472,304
73,32.93,466,476
74,33.31,327,391
75,32.05,732,787
76,31.68,670,336
77,32.57,530,496
78,33.96,603,405
79,33.63,603,486
80,34.3,417,334
81,32.64,735,532
82,32.01,952,900
83,33.01,608,331
84,33.3,672,442
85,32.09,873,672
86,32.32,531,311
87,32.52,949,858
88,31.71,392,309
89,33.26,709,720
90,31.5,573,483
91,34.1,578,364
92,33.98,497,398
93,33.65,371,459
94,31.93,924,864
95,32.62,925,887
96,31.76,983,840
97,32.22,901,804
98,31.54,715,700
99,34.3,782,537
100,34.1,345,352
101,33.23,1003,912
102,32.03,602,482
103,32.26,366,424
104,34.16,303,344
105,33.58,900,629
106,31.52,826,751
107,33.11,682,485
108,33.64,850,776
109,33.47,351,387
110,31.6,323,329
111,32.92,996,814
112,31.77,611,451
113,33.68,800,629
114,33.18,394,403
115,32.94,823,577
116,33.09,987,878
117,33.57,759,691
118,33.96,622,496
119,31.61,716,761
120,32.81,578,385
121,33.73,942,815
122,32.21,690,349
123,34.07,833,519
124,32.26,900,530
125,33.94,751,673
126,32.47,992,864
127,32.8,770,517
128,31.64,628,448
129,34.49,890,651
130,32.38,379,472
131,34.47,485,355
132,31.66,432,488
133,31.68,302,481
134,32.72,785,632
135,32.43,821,737
136,32.74,833,748
137,31.89,473,321
138,33.68,642,377
139,33.07,468,480
140,32.7,367,387
141,33.98,482,316
142,31.68,676,339
143,33.57,445,438
144,33.74,517,326
145,33.29,867,508
146,32.59,404,440
147,31.91,880,739
148,31.78,636,326
149,31.59,488,487
150,31.62,641,394
151,31.94,383,481
152,33.21,631,421
153,31.51,606,482
154,32.66,652,373
155,34.23,386,368
156,33.26,925,875
157,34.03,320,465
158,32.84,971,875
159,33.01,671,348
160,32.12,432,314
161,34.42,888,662
162,32.61,913,837
163,31.77,743,758
164,33.69,655,389
165,33.6,950,839
166,32.07,528,474
167,34.17,781,703
168,33.55,902,832
169,32.86,547,335
170,33.21,880,792
171,33.65,630,379
172,33.88,706,615
173,32.05,395,481
174,32.18,816,690
175,34.32,849,512
176,31.79,320,475
177,33.38,569,364
178,33.5,1015,985
179,31.64,956,806
180,34.24,681,455
181,31.86,538,459
182,33.15,805,606
183,31.88,572,430
184,32.57,792,790
185,32.51,623,417
186,34.44,367,492
187,31.89,388,319
188,34.1,957,888
189,34.45,863,702
190,32.61,316,358
191,32.6,915,815
192,32.58,511,482
193,33.58,993,844
194,34.2,432,346
195,33.38,453,413
196,32.52,801,706
197,32.18,628,406
198,32.1,905,831
199,33.16,340,322
200,31.72,535,300
